axis_index,slot_id,bridge_path,value,candidate_count,assigned_unique,target_id,score,match_kind,bridge_value,native_value,layer,npz,member,shape,margin_to_second
5,5,$.entries[5],0.30103461970312484,13,True,skeletal::cache\cranium_fce_head_features.npz::headers_skeletal.npy::bs_coronal_NN_SXX_D_U,1525,exact,bs_coronal_NN_SXX_D_U,bs_coronal_NN_SXX_D_U,skeletal,cache\cranium_fce_head_features.npz,headers_skeletal.npy,[232],0
6,6,$.entries[6],0.30457530402448985,13,True,skeletal::cache\cranium_fce_head_features.npz::headers_skeletal.npy::bs_coronal_NN_SXX_B_F,1525,exact,bs_coronal_NN_SXX_B_F,bs_coronal_NN_SXX_B_F,skeletal,cache\cranium_fce_head_features.npz,headers_skeletal.npy,[232],0
7,7,$.entries[7],-0.36663148235720644,13,True,skeletal::cache\cranium_fce_head_features.npz::headers_skeletal.npy::bs_coronal_NN_SXX_SL_SR,1525,exact,bs_coronal_NN_SXX_SL_SR,bs_coronal_NN_SXX_SL_SR,skeletal,cache\cranium_fce_head_features.npz,headers_skeletal.npy,[232],0
8,8,$.entries[8],-8.511067801307756e-07,13,True,skeletal::cache\cranium_fce_head_features.npz::headers_skeletal.npy::bs_coronal_NN_SXX_R,1525,exact,bs_coronal_NN_SXX_R,bs_coronal_NN_SXX_R,skeletal,cache\cranium_fce_head_features.npz,headers_skeletal.npy,[232],0
9,9,$.entries[9],-0.011926845552038517,13,True,skeletal::cache\cranium_fce_head_features.npz::headers_skeletal.npy::bs_coronal_NN_SXX_N_W,1525,exact,bs_coronal_NN_SXX_N_W,bs_coronal_NN_SXX_N_W,skeletal,cache\cranium_fce_head_features.npz,headers_skeletal.npy,[232],0
23,23,$.entries[23],-0.15651892258049396,21,True,flesh::cache\cranium_3d_landmark_training.npz::headers.npy::mu_temporalis_NL_XXX_L_M,1525,exact,mu_temporalis_NL_XXX_L_M,mu_temporalis_NL_XXX_L_M,flesh,cache\cranium_3d_landmark_training.npz,headers.npy,[373],0
24,24,$.entries[24],-0.21555748989833298,21,True,flesh::cache\cranium_3d_landmark_training.npz::headers.npy::mu_temporalis_NR_XXX_L_M,1525,exact,mu_temporalis_NR_XXX_L_M,mu_temporalis_NR_XXX_L_M,flesh,cache\cranium_3d_landmark_training.npz,headers.npy,[373],0
25,25,$.entries[25],-0.29304384142389,21,True,fat::cache\cranium_3d_landmark_training.npz::headers.npy::fa_temporal_NL_XLX_L_M,1525,exact,fa_temporal_NL_XLX_L_M,fa_temporal_NL_XLX_L_M,fat,cache\cranium_3d_landmark_training.npz,headers.npy,[373],0
26,26,$.entries[26],0.38499740055464204,21,True,fat::cache\cranium_3d_landmark_training.npz::headers.npy::fa_temporal_NL_XLX_D_U,1525,exact,fa_temporal_NL_XLX_D_U,fa_temporal_NL_XLX_D_U,fat,cache\cranium_3d_landmark_training.npz,headers.npy,[373],0
27,27,$.entries[27],-0.29882110619291025,21,True,fat::cache\cranium_3d_landmark_training.npz::headers.npy::fa_temporal_NR_XLX_L_M,1525,exact,fa_temporal_NR_XLX_L_M,fa_temporal_NR_XLX_L_M,fat,cache\cranium_3d_landmark_training.npz,headers.npy,[373],0
