bridge_key,score,match_type,bridge_classification,native_value,layers,bridge_paths,native_locations
bs_brow_NL_SMX_B_F,155,exact,morph_candidate,bs_brow_NL_SMX_B_F,skeletal,$.entries[36].morph,cache\cranium_3d_landmark_training.npz::headers.npy shape=[373] | cache\cranium_controller_training.npz::headers.npy shape=[368] | cache\cranium_fce_3d_landmark_training.npz::headers.npy shape=[373] | cache\cranium_fce_head_features.npz::headers_skeletal.npy shape=[232] | cache\cranium_fce_head_features.npz::morph_skeletal.npy shape=[585] | cache\cranium_fce_landmark_training.npz::headers.npy shape=[373] | cache\cranium_fce_photo_bridge.npz::morph_skeletal.npy shape=[585] | cache\cranium_geometry_head_features.npz::headers_skeletal.npy shape=[232] | cache\cranium_geometry_head_features.npz::morph_skeletal.npy shape=[593] | cache\cranium_geometry_landmark_training.npz::headers.npy shape=[373] | cache\cranium_head_features.npz::headers_skeletal.npy shape=[232] | cache\cranium_head_features.npz::morph_skeletal.npy shape=[593] | cache\cranium_landmark_training.npz::headers.npy shape=[373]
bs_brow_NL_SMX_D_U,155,exact,morph_candidate,bs_brow_NL_SMX_D_U,skeletal,$.entries[34].morph,cache\cranium_3d_landmark_training.npz::headers.npy shape=[373] | cache\cranium_controller_training.npz::headers.npy shape=[368] | cache\cranium_fce_3d_landmark_training.npz::headers.npy shape=[373] | cache\cranium_fce_head_features.npz::headers_skeletal.npy shape=[232] | cache\cranium_fce_head_features.npz::morph_skeletal.npy shape=[585] | cache\cranium_fce_landmark_training.npz::headers.npy shape=[373] | cache\cranium_fce_photo_bridge.npz::morph_skeletal.npy shape=[585] | cache\cranium_geometry_head_features.npz::headers_skeletal.npy shape=[232] | cache\cranium_geometry_head_features.npz::morph_skeletal.npy shape=[593] | cache\cranium_geometry_landmark_training.npz::headers.npy shape=[373] | cache\cranium_head_features.npz::headers_skeletal.npy shape=[232] | cache\cranium_head_features.npz::morph_skeletal.npy shape=[593] | cache\cranium_landmark_training.npz::headers.npy shape=[373]
bs_brow_NL_SMX_N_W,155,exact,morph_candidate,bs_brow_NL_SMX_N_W,skeletal,$.entries[37].morph,cache\cranium_3d_landmark_training.npz::headers.npy shape=[373] | cache\cranium_controller_training.npz::headers.npy shape=[368] | cache\cranium_fce_3d_landmark_training.npz::headers.npy shape=[373] | cache\cranium_fce_head_features.npz::headers_skeletal.npy shape=[232] | cache\cranium_fce_head_features.npz::morph_skeletal.npy shape=[585] | cache\cranium_fce_landmark_training.npz::headers.npy shape=[373] | cache\cranium_fce_photo_bridge.npz::morph_skeletal.npy shape=[585] | cache\cranium_geometry_head_features.npz::headers_skeletal.npy shape=[232] | cache\cranium_geometry_head_features.npz::morph_skeletal.npy shape=[593] | cache\cranium_geometry_landmark_training.npz::headers.npy shape=[373] | cache\cranium_head_features.npz::headers_skeletal.npy shape=[232] | cache\cranium_head_features.npz::morph_skeletal.npy shape=[593] | cache\cranium_landmark_training.npz::headers.npy shape=[373]
bs_brow_NL_SMX_R_A,155,exact,morph_candidate,bs_brow_NL_SMX_R_A,skeletal,$.entries[35].morph,cache\cranium_3d_landmark_training.npz::headers.npy shape=[373] | cache\cranium_controller_training.npz::headers.npy shape=[368] | cache\cranium_fce_3d_landmark_training.npz::headers.npy shape=[373] | cache\cranium_fce_head_features.npz::headers_skeletal.npy shape=[232] | cache\cranium_fce_head_features.npz::morph_skeletal.npy shape=[585] | cache\cranium_fce_landmark_training.npz::headers.npy shape=[373] | cache\cranium_fce_photo_bridge.npz::morph_skeletal.npy shape=[585] | cache\cranium_geometry_head_features.npz::headers_skeletal.npy shape=[232] | cache\cranium_geometry_head_features.npz::morph_skeletal.npy shape=[593] | cache\cranium_geometry_landmark_training.npz::headers.npy shape=[373] | cache\cranium_head_features.npz::headers_skeletal.npy shape=[232] | cache\cranium_head_features.npz::morph_skeletal.npy shape=[593] | cache\cranium_landmark_training.npz::headers.npy shape=[373]
bs_brow_NL_XLX_B_F,155,exact,morph_candidate,bs_brow_NL_XLX_B_F,skeletal,$.entries[63].morph,cache\cranium_3d_landmark_training.npz::headers.npy shape=[373] | cache\cranium_controller_training.npz::headers.npy shape=[368] | cache\cranium_fce_3d_landmark_training.npz::headers.npy shape=[373] | cache\cranium_fce_head_features.npz::headers_skeletal.npy shape=[232] | cache\cranium_fce_head_features.npz::morph_skeletal.npy shape=[585] | cache\cranium_fce_landmark_training.npz::headers.npy shape=[373] | cache\cranium_fce_photo_bridge.npz::morph_skeletal.npy shape=[585] | cache\cranium_geometry_head_features.npz::headers_skeletal.npy shape=[232] | cache\cranium_geometry_head_features.npz::morph_skeletal.npy shape=[593] | cache\cranium_geometry_landmark_training.npz::headers.npy shape=[373] | cache\cranium_head_features.npz::headers_skeletal.npy shape=[232] | cache\cranium_head_features.npz::morph_skeletal.npy shape=[593] | cache\cranium_landmark_training.npz::headers.npy shape=[373]
bs_brow_NL_XLX_D_U,155,exact,morph_candidate,bs_brow_NL_XLX_D_U,skeletal,$.entries[61].morph,cache\cranium_3d_landmark_training.npz::headers.npy shape=[373] | cache\cranium_controller_training.npz::headers.npy shape=[368] | cache\cranium_fce_3d_landmark_training.npz::headers.npy shape=[373] | cache\cranium_fce_head_features.npz::headers_skeletal.npy shape=[232] | cache\cranium_fce_head_features.npz::morph_skeletal.npy shape=[585] | cache\cranium_fce_landmark_training.npz::headers.npy shape=[373] | cache\cranium_fce_photo_bridge.npz::morph_skeletal.npy shape=[585] | cache\cranium_geometry_head_features.npz::headers_skeletal.npy shape=[232] | cache\cranium_geometry_head_features.npz::morph_skeletal.npy shape=[593] | cache\cranium_geometry_landmark_training.npz::headers.npy shape=[373] | cache\cranium_head_features.npz::headers_skeletal.npy shape=[232] | cache\cranium_head_features.npz::morph_skeletal.npy shape=[593] | cache\cranium_landmark_training.npz::headers.npy shape=[373]
bs_brow_NL_XLX_N_W,155,exact,morph_candidate,bs_brow_NL_XLX_N_W,skeletal,$.entries[64].morph,cache\cranium_3d_landmark_training.npz::headers.npy shape=[373] | cache\cranium_controller_training.npz::headers.npy shape=[368] | cache\cranium_fce_3d_landmark_training.npz::headers.npy shape=[373] | cache\cranium_fce_head_features.npz::headers_skeletal.npy shape=[232] | cache\cranium_fce_head_features.npz::morph_skeletal.npy shape=[585] | cache\cranium_fce_landmark_training.npz::headers.npy shape=[373] | cache\cranium_fce_photo_bridge.npz::morph_skeletal.npy shape=[585] | cache\cranium_geometry_head_features.npz::headers_skeletal.npy shape=[232] | cache\cranium_geometry_head_features.npz::morph_skeletal.npy shape=[593] | cache\cranium_geometry_landmark_training.npz::headers.npy shape=[373] | cache\cranium_head_features.npz::headers_skeletal.npy shape=[232] | cache\cranium_head_features.npz::morph_skeletal.npy shape=[593] | cache\cranium_landmark_training.npz::headers.npy shape=[373]
bs_brow_NL_XLX_R_A,155,exact,morph_candidate,bs_brow_NL_XLX_R_A,skeletal,$.entries[62].morph,cache\cranium_3d_landmark_training.npz::headers.npy shape=[373] | cache\cranium_controller_training.npz::headers.npy shape=[368] | cache\cranium_fce_3d_landmark_training.npz::headers.npy shape=[373] | cache\cranium_fce_head_features.npz::headers_skeletal.npy shape=[232] | cache\cranium_fce_head_features.npz::morph_skeletal.npy shape=[585] | cache\cranium_fce_landmark_training.npz::headers.npy shape=[373] | cache\cranium_fce_photo_bridge.npz::morph_skeletal.npy shape=[585] | cache\cranium_geometry_head_features.npz::headers_skeletal.npy shape=[232] | cache\cranium_geometry_head_features.npz::morph_skeletal.npy shape=[593] | cache\cranium_geometry_landmark_training.npz::headers.npy shape=[373] | cache\cranium_head_features.npz::headers_skeletal.npy shape=[232] | cache\cranium_head_features.npz::morph_skeletal.npy shape=[593] | cache\cranium_landmark_training.npz::headers.npy shape=[373]
bs_brow_NN_XMX_B_F,155,exact,morph_candidate,bs_brow_NN_XMX_B_F,skeletal,$.entries[58].morph,cache\cranium_3d_landmark_training.npz::headers.npy shape=[373] | cache\cranium_controller_training.npz::headers.npy shape=[368] | cache\cranium_fce_3d_landmark_training.npz::headers.npy shape=[373] | cache\cranium_fce_head_features.npz::headers_skeletal.npy shape=[232] | cache\cranium_fce_head_features.npz::morph_skeletal.npy shape=[585] | cache\cranium_fce_landmark_training.npz::headers.npy shape=[373] | cache\cranium_fce_photo_bridge.npz::morph_skeletal.npy shape=[585] | cache\cranium_geometry_head_features.npz::headers_skeletal.npy shape=[232] | cache\cranium_geometry_head_features.npz::morph_skeletal.npy shape=[593] | cache\cranium_geometry_landmark_training.npz::headers.npy shape=[373] | cache\cranium_head_features.npz::headers_skeletal.npy shape=[232] | cache\cranium_head_features.npz::morph_skeletal.npy shape=[593] | cache\cranium_landmark_training.npz::headers.npy shape=[373]
bs_brow_NN_XMX_D_U,155,exact,morph_candidate,bs_brow_NN_XMX_D_U,skeletal,$.entries[56].morph,cache\cranium_3d_landmark_training.npz::headers.npy shape=[373] | cache\cranium_controller_training.npz::headers.npy shape=[368] | cache\cranium_fce_3d_landmark_training.npz::headers.npy shape=[373] | cache\cranium_fce_head_features.npz::headers_skeletal.npy shape=[232] | cache\cranium_fce_head_features.npz::morph_skeletal.npy shape=[585] | cache\cranium_fce_landmark_training.npz::headers.npy shape=[373] | cache\cranium_fce_photo_bridge.npz::morph_skeletal.npy shape=[585] | cache\cranium_geometry_head_features.npz::headers_skeletal.npy shape=[232] | cache\cranium_geometry_head_features.npz::morph_skeletal.npy shape=[593] | cache\cranium_geometry_landmark_training.npz::headers.npy shape=[373] | cache\cranium_head_features.npz::headers_skeletal.npy shape=[232] | cache\cranium_head_features.npz::morph_skeletal.npy shape=[593] | cache\cranium_landmark_training.npz::headers.npy shape=[373]
