slot_id,bridge_path,primary_value,numeric_leaf_count,resolution,matched_bridge_string,bridge_key,native_value,layers,score,native_locations
0,$.entries[0],0.006288687510592343,2,exact,bs_skull_NN_SXX_F,bs_skull_NN_SXX_F,bs_skull_NN_SXX_F,skeletal,155,cache\cranium_fce_head_features.npz::headers_skeletal.npy shape=[232] | cache\cranium_fce_head_features.npz::morph_skeletal.npy shape=[585] | cache\cranium_fce_photo_bridge.npz::morph_skeletal.npy shape=[585] | cache\cranium_geometry_head_features.npz::headers_skeletal.npy shape=[232] | cache\cranium_geometry_head_features.npz::morph_skeletal.npy shape=[593] | cache\cranium_head_features.npz::headers_skeletal.npy shape=[232] | cache\cranium_head_features.npz::morph_skeletal.npy shape=[593]
1,$.entries[1],0.3501492426177431,2,exact,bs_skull_NN_SXX_D_U,bs_skull_NN_SXX_D_U,bs_skull_NN_SXX_D_U,skeletal,155,cache\cranium_fce_head_features.npz::headers_skeletal.npy shape=[232] | cache\cranium_fce_head_features.npz::morph_skeletal.npy shape=[585] | cache\cranium_fce_photo_bridge.npz::morph_skeletal.npy shape=[585] | cache\cranium_geometry_head_features.npz::headers_skeletal.npy shape=[232] | cache\cranium_geometry_head_features.npz::morph_skeletal.npy shape=[593] | cache\cranium_head_features.npz::headers_skeletal.npy shape=[232] | cache\cranium_head_features.npz::morph_skeletal.npy shape=[593]
2,$.entries[2],0.03990086448874471,2,exact,bs_skull_NN_SXX_R_A,bs_skull_NN_SXX_R_A,bs_skull_NN_SXX_R_A,skeletal,155,cache\cranium_fce_head_features.npz::headers_skeletal.npy shape=[232] | cache\cranium_fce_head_features.npz::morph_skeletal.npy shape=[585] | cache\cranium_fce_photo_bridge.npz::morph_skeletal.npy shape=[585] | cache\cranium_geometry_head_features.npz::headers_skeletal.npy shape=[232] | cache\cranium_geometry_head_features.npz::morph_skeletal.npy shape=[593] | cache\cranium_head_features.npz::headers_skeletal.npy shape=[232] | cache\cranium_head_features.npz::morph_skeletal.npy shape=[593]
3,$.entries[3],-0.2579768555625586,2,exact,bs_skull_NN_SXX_SL_SR,bs_skull_NN_SXX_SL_SR,bs_skull_NN_SXX_SL_SR,skeletal,155,cache\cranium_fce_head_features.npz::headers_skeletal.npy shape=[232] | cache\cranium_fce_head_features.npz::morph_skeletal.npy shape=[585] | cache\cranium_fce_photo_bridge.npz::morph_skeletal.npy shape=[585] | cache\cranium_geometry_head_features.npz::headers_skeletal.npy shape=[232] | cache\cranium_geometry_head_features.npz::morph_skeletal.npy shape=[593] | cache\cranium_head_features.npz::headers_skeletal.npy shape=[232] | cache\cranium_head_features.npz::morph_skeletal.npy shape=[593]
4,$.entries[4],0.4302765063247554,2,exact,bs_skull_NN_SXX_N_W,bs_skull_NN_SXX_N_W,bs_skull_NN_SXX_N_W,skeletal,155,cache\cranium_fce_head_features.npz::headers_skeletal.npy shape=[232] | cache\cranium_fce_head_features.npz::morph_skeletal.npy shape=[585] | cache\cranium_fce_photo_bridge.npz::morph_skeletal.npy shape=[585] | cache\cranium_geometry_head_features.npz::headers_skeletal.npy shape=[232] | cache\cranium_geometry_head_features.npz::morph_skeletal.npy shape=[593] | cache\cranium_head_features.npz::headers_skeletal.npy shape=[232] | cache\cranium_head_features.npz::morph_skeletal.npy shape=[593]
5,$.entries[5],0.30103461970312484,2,normalized,Skeletal,skeletal,skeletal,,155,"cache\cranium_3d_landmark_training.npz::training.npy shape=[373, 593] | cache\cranium_controller_training.npz::training.npy shape=[368, 359] | cache\cranium_fce_3d_landmark_training.npz::training.npy shape=[373, 585] | cache\cranium_fce_landmark_training.npz::training.npy shape=[373, 585] | cache\cranium_geometry_landmark_training.npz::training.npy shape=[373, 593] | cache\cranium_landmark_training.npz::training.npy shape=[373, 585]"
6,$.entries[6],0.30457530402448985,2,normalized,Skeletal,skeletal,skeletal,,155,"cache\cranium_3d_landmark_training.npz::training.npy shape=[373, 593] | cache\cranium_controller_training.npz::training.npy shape=[368, 359] | cache\cranium_fce_3d_landmark_training.npz::training.npy shape=[373, 585] | cache\cranium_fce_landmark_training.npz::training.npy shape=[373, 585] | cache\cranium_geometry_landmark_training.npz::training.npy shape=[373, 593] | cache\cranium_landmark_training.npz::training.npy shape=[373, 585]"
7,$.entries[7],-0.36663148235720644,2,normalized,Skeletal,skeletal,skeletal,,155,"cache\cranium_3d_landmark_training.npz::training.npy shape=[373, 593] | cache\cranium_controller_training.npz::training.npy shape=[368, 359] | cache\cranium_fce_3d_landmark_training.npz::training.npy shape=[373, 585] | cache\cranium_fce_landmark_training.npz::training.npy shape=[373, 585] | cache\cranium_geometry_landmark_training.npz::training.npy shape=[373, 593] | cache\cranium_landmark_training.npz::training.npy shape=[373, 585]"
8,$.entries[8],-8.511067801307756e-07,2,normalized,Skeletal,skeletal,skeletal,,155,"cache\cranium_3d_landmark_training.npz::training.npy shape=[373, 593] | cache\cranium_controller_training.npz::training.npy shape=[368, 359] | cache\cranium_fce_3d_landmark_training.npz::training.npy shape=[373, 585] | cache\cranium_fce_landmark_training.npz::training.npy shape=[373, 585] | cache\cranium_geometry_landmark_training.npz::training.npy shape=[373, 593] | cache\cranium_landmark_training.npz::training.npy shape=[373, 585]"
9,$.entries[9],-0.011926845552038517,2,normalized,Skeletal,skeletal,skeletal,,155,"cache\cranium_3d_landmark_training.npz::training.npy shape=[373, 593] | cache\cranium_controller_training.npz::training.npy shape=[368, 359] | cache\cranium_fce_3d_landmark_training.npz::training.npy shape=[373, 585] | cache\cranium_fce_landmark_training.npz::training.npy shape=[373, 585] | cache\cranium_geometry_landmark_training.npz::training.npy shape=[373, 593] | cache\cranium_landmark_training.npz::training.npy shape=[373, 585]"
10,$.entries[10],0.19474931670165713,2,exact,bs_skull_NN_XXP_D_U,bs_skull_NN_XXP_D_U,bs_skull_NN_XXP_D_U,skeletal,155,cache\cranium_fce_head_features.npz::headers_skeletal.npy shape=[232] | cache\cranium_fce_head_features.npz::morph_skeletal.npy shape=[585] | cache\cranium_fce_photo_bridge.npz::morph_skeletal.npy shape=[585] | cache\cranium_geometry_head_features.npz::headers_skeletal.npy shape=[232] | cache\cranium_geometry_head_features.npz::morph_skeletal.npy shape=[593] | cache\cranium_head_features.npz::headers_skeletal.npy shape=[232] | cache\cranium_head_features.npz::morph_skeletal.npy shape=[593]
11,$.entries[11],-0.41241156062816775,2,exact,bs_skull_NN_XXP_R_A,bs_skull_NN_XXP_R_A,bs_skull_NN_XXP_R_A,skeletal,155,cache\cranium_fce_head_features.npz::headers_skeletal.npy shape=[232] | cache\cranium_fce_head_features.npz::morph_skeletal.npy shape=[585] | cache\cranium_fce_photo_bridge.npz::morph_skeletal.npy shape=[585] | cache\cranium_geometry_head_features.npz::headers_skeletal.npy shape=[232] | cache\cranium_geometry_head_features.npz::morph_skeletal.npy shape=[593] | cache\cranium_head_features.npz::headers_skeletal.npy shape=[232] | cache\cranium_head_features.npz::morph_skeletal.npy shape=[593]
12,$.entries[12],0.1484107257775271,2,exact,bs_skull_NN_XXP_B_F,bs_skull_NN_XXP_B_F,bs_skull_NN_XXP_B_F,skeletal,155,cache\cranium_fce_head_features.npz::headers_skeletal.npy shape=[232] | cache\cranium_fce_head_features.npz::morph_skeletal.npy shape=[585] | cache\cranium_fce_photo_bridge.npz::morph_skeletal.npy shape=[585] | cache\cranium_geometry_head_features.npz::headers_skeletal.npy shape=[232] | cache\cranium_geometry_head_features.npz::morph_skeletal.npy shape=[593] | cache\cranium_head_features.npz::headers_skeletal.npy shape=[232] | cache\cranium_head_features.npz::morph_skeletal.npy shape=[593]
13,$.entries[13],-0.2812579830263103,2,exact,bs_skull_NN_XXP_SL_SR,bs_skull_NN_XXP_SL_SR,bs_skull_NN_XXP_SL_SR,skeletal,155,cache\cranium_fce_head_features.npz::headers_skeletal.npy shape=[232] | cache\cranium_fce_head_features.npz::morph_skeletal.npy shape=[585] | cache\cranium_fce_photo_bridge.npz::morph_skeletal.npy shape=[585] | cache\cranium_geometry_head_features.npz::headers_skeletal.npy shape=[232] | cache\cranium_geometry_head_features.npz::morph_skeletal.npy shape=[593] | cache\cranium_head_features.npz::headers_skeletal.npy shape=[232] | cache\cranium_head_features.npz::morph_skeletal.npy shape=[593]
14,$.entries[14],-0.445076265890977,2,exact,bs_skull_NN_XXP_N_W,bs_skull_NN_XXP_N_W,bs_skull_NN_XXP_N_W,skeletal,155,cache\cranium_fce_head_features.npz::headers_skeletal.npy shape=[232] | cache\cranium_fce_head_features.npz::morph_skeletal.npy shape=[585] | cache\cranium_fce_photo_bridge.npz::morph_skeletal.npy shape=[585] | cache\cranium_geometry_head_features.npz::headers_skeletal.npy shape=[232] | cache\cranium_geometry_head_features.npz::morph_skeletal.npy shape=[593] | cache\cranium_head_features.npz::headers_skeletal.npy shape=[232] | cache\cranium_head_features.npz::morph_skeletal.npy shape=[593]
15,$.entries[15],-0.2796428209692075,2,exact,bs_temple_NL_XXX_D_U,bs_temple_NL_XXX_D_U,bs_temple_NL_XXX_D_U,skeletal,155,cache\cranium_3d_landmark_training.npz::headers.npy shape=[373] | cache\cranium_controller_training.npz::headers.npy shape=[368] | cache\cranium_fce_3d_landmark_training.npz::headers.npy shape=[373] | cache\cranium_fce_head_features.npz::headers_skeletal.npy shape=[232] | cache\cranium_fce_head_features.npz::morph_skeletal.npy shape=[585] | cache\cranium_fce_landmark_training.npz::headers.npy shape=[373] | cache\cranium_fce_photo_bridge.npz::morph_skeletal.npy shape=[585] | cache\cranium_geometry_head_features.npz::headers_skeletal.npy shape=[232] | cache\cranium_geometry_head_features.npz::morph_skeletal.npy shape=[593] | cache\cranium_geometry_landmark_training.npz::headers.npy shape=[373] | cache\cranium_head_features.npz::headers_skeletal.npy shape=[232] | cache\cranium_head_features.npz::morph_skeletal.npy shape=[593] | cache\cranium_landmark_training.npz::headers.npy shape=[373]
16,$.entries[16],-0.12340819679619737,2,exact,bs_temple_NL_XXX_R_A,bs_temple_NL_XXX_R_A,bs_temple_NL_XXX_R_A,skeletal,155,cache\cranium_3d_landmark_training.npz::headers.npy shape=[373] | cache\cranium_controller_training.npz::headers.npy shape=[368] | cache\cranium_fce_3d_landmark_training.npz::headers.npy shape=[373] | cache\cranium_fce_head_features.npz::headers_skeletal.npy shape=[232] | cache\cranium_fce_head_features.npz::morph_skeletal.npy shape=[585] | cache\cranium_fce_landmark_training.npz::headers.npy shape=[373] | cache\cranium_fce_photo_bridge.npz::morph_skeletal.npy shape=[585] | cache\cranium_geometry_head_features.npz::headers_skeletal.npy shape=[232] | cache\cranium_geometry_head_features.npz::morph_skeletal.npy shape=[593] | cache\cranium_geometry_landmark_training.npz::headers.npy shape=[373] | cache\cranium_head_features.npz::headers_skeletal.npy shape=[232] | cache\cranium_head_features.npz::morph_skeletal.npy shape=[593] | cache\cranium_landmark_training.npz::headers.npy shape=[373]
