target_id,native_value,layers,axis_count,category,suggested_rule,axis_indexes,axis_values,bridge_keys,matched_strings,npz,member,shape
unknown::cache\cranium_3d_landmark_training.npz::training.npy::skeletal,skeletal,,109,same_bridge_key,combine_same_semantic_control,"5,6,7,8,9,48,49,50,51,52,53,54,55,83,84,85,86,87,88,89,90,238,239,240,241,242,243,244,245,320,321,322,323,324,325,326,327,373,374,375,376,377,378,379,380,508,509,510,511,512,513,514,515,516,517,518,519,520,521,522,523,524,525,526,527,528,529,530,531,532,533,534,535,536,537,538,539,540,541,542,543,544,545,562,563,584,585,586,587,588,589,590,591,592,593,594,595,596,597,598,599,600,601,602,603,604,605,606,607","0.30103461970312484,0.30457530402448985,-0.36663148235720644,-8.511067801307756e-07,-0.011926845552038517,-3.5037099347311373e-07,9.277045095962906e-07,4.972194768868878e-07,-1.4757650059210095e-07,-4.1376352332996977e-07,9.372070427050085e-07,5.096096214931572e-07,5.921190978475318e-08,-4.997358252102357e-07,-5.3081539224449597e-08,5.834568003440046e-07,-1.7276166977797383e-07,-5.493910449369276e-07,-2.011316377411196e-07,5.962731005787881e-07,-3.8454744268134216e-09,-0.09064195420464835,-3.9571434982152646e-08,-0.13067533765737616,-1.0778361019018399e-07,-0.11485366609575658,1.254749268973426e-07,-0.1647909776224577,-1.854945375597239e-07,-0.3163793211497217,0.17273652419000987,-0.12123177417528345,0.34307470360688,-0.3154852076702881,0.14118927235831555,-0.05440024925350851,0.3584360642056278,-0.05168527550035558,0.1391751632132545,0.08850514370777368,2.1199892140073758e-07,-0.06568703716793786,0.11006757605962729,0.11216925290288543,2.0765643048861817e-07,-6.220923707669152e-07,-0.22868306688526235,0.2299092739114515,-6.55560232973374e-07,-0.16640496142432298,0.19617139858103896,-0.21018490642507764,5.376294971827527e-07,-0.17893171604830596,5.066839119985321e-07,-4.220222616463388e-07,-3.355057201416669e-07,2.2649907039801185e-07,-4.4794312377539484e-07,-3.7964915219193304e-07,1.376002316727929e-07,0.11315554225877307,0.0892901053592764,-0.4108094597068608,-0.042791918664347894,-0.2967976530782147,-0.4068643602521159,0.07734774742483315,-0.30210788861421095,-0.3414835623665534,-1.3573259642820438e-07,-0.33178353015110534,-5.7857643412052534e-08,0.06181354248659264,-0.08726348831251457,-0.03562244553399957,-0.05633149874792459,-0.14320834534992102,0.08139214361053457,-0.29391076172982755,9.767340086593758e-08,-0.30781886392929164,4.359192630138442e-08,1.8448577915608334e-07,3.505083991255987e-08,0.23277871725497298,0.26811796206443717,-0.19452242037918302,0.05050711374734208,0.2876872286359198,0.2306854966762106,-0.2425607760430998,0.06419372258495067,0.004912355533540494,1.3842049832859227e-07,0.17760674736939538,0.3738368355519551,0.0062519861490839875,1.3377000274842774e-07,0.2222264990849674,0.34980876418215523,-7.791398377175197e-10,-0.15327182741179585,-8.662132300622013e-08,1.1817482817533206e-10,-5.83202242572303e-10,-0.12138752549545631,-6.811716360951827e-08,1.5040432676860443e-10",skeletal | skeletal | skeletal | skeletal | skeletal | skeletal | skeletal | skeletal | skeletal | skeletal | skeletal | skeletal | skeletal | skeletal | skeletal | skeletal | skeletal | skeletal | skeletal | skeletal | skeletal | skeletal | skeletal | skeletal | skeletal | skeletal | skeletal | skeletal | skeletal | skeletal | skeletal | skeletal | skeletal | skeletal | skeletal | skeletal | skeletal | skeletal | skeletal | skeletal | skeletal | skeletal | skeletal | skeletal | skeletal | skeletal | skeletal | skeletal | skeletal | skeletal | skeletal | skeletal | skeletal | skeletal | skeletal | skeletal | skeletal | skeletal | skeletal | skeletal | skeletal | skeletal | skeletal | skeletal | skeletal | skeletal | skeletal | skeletal | skeletal | skeletal | skeletal | skeletal | skeletal | skeletal | skeletal | skeletal | skeletal | skeletal | skeletal | skeletal | skeletal | skeletal | skeletal | skeletal | skeletal | skeletal | skeletal | skeletal | skeletal | skeletal | skeletal | skeletal | skeletal | skeletal | skeletal | skeletal | skeletal | skeletal | skeletal | skeletal | skeletal | skeletal | skeletal | skeletal | skeletal | skeletal | skeletal | skeletal | skeletal,Skeletal | Skeletal | Skeletal | Skeletal | Skeletal | Skeletal | Skeletal | Skeletal | Skeletal | Skeletal | Skeletal | Skeletal | Skeletal | Skeletal | Skeletal | Skeletal | Skeletal | Skeletal | Skeletal | Skeletal | Skeletal | Skeletal | Skeletal | Skeletal | Skeletal | Skeletal | Skeletal | Skeletal | Skeletal | Skeletal | Skeletal | Skeletal | Skeletal | Skeletal | Skeletal | Skeletal | Skeletal | Skeletal | Skeletal | Skeletal | Skeletal | Skeletal | Skeletal | Skeletal | Skeletal | Skeletal | Skeletal | Skeletal | Skeletal | Skeletal | Skeletal | Skeletal | Skeletal | Skeletal | Skeletal | Skeletal | Skeletal | Skeletal | Skeletal | Skeletal | Skeletal | Skeletal | Skeletal | Skeletal | Skeletal | Skeletal | Skeletal | Skeletal | Skeletal | Skeletal | Skeletal | Skeletal | Skeletal | Skeletal | Skeletal | Skeletal | Skeletal | Skeletal | Skeletal | Skeletal | Skeletal | Skeletal | Skeletal | Skeletal | Skeletal | Skeletal | Skeletal | Skeletal | Skeletal | Skeletal | Skeletal | Skeletal | Skeletal | Skeletal | Skeletal | Skeletal | Skeletal | Skeletal | Skeletal | Skeletal | Skeletal | Skeletal | Skeletal | Skeletal | Skeletal | Skeletal | Skeletal | Skeletal | Skeletal,cache\cranium_3d_landmark_training.npz,training.npy,"[373, 593]"
unknown::cache\cranium_3d_landmark_training.npz::training.npy::flesh,flesh,,59,same_bridge_key,combine_same_semantic_control,"23,24,69,70,71,72,73,74,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,443,444,445,446,447,490,491,578,579,608,609","-0.15651892258049396,-0.21555748989833298,-0.2012948404251004,0.354159717039334,-0.1979123985995138,0.34908893677746256,0.37215916043155045,0.032737291883982556,0.3603035861528117,-0.22353205883946067,-0.32262581368964754,-0.16622434373266723,0.34909787799039355,-0.2412714618796029,-0.3189221605485842,-0.13183386271510258,0.14362147825795352,0.3243383432421864,-0.02145616543377854,-0.15343551020170865,0.11363273944875828,0.288767285694192,-0.016860807024495165,-0.1215193179990855,-0.003877309670667417,0.1534355804763217,0.22366604675417903,0.06245409881937146,0.11971715100572924,0.12151913243046865,0.16697941206184796,-0.009814035446249033,-0.05444471834189059,0.1125311167967373,0.004539034030632795,0.15149165205487924,0.054366010725401766,-0.0443273534017843,0.16086771372701628,-0.007613022494621565,0.20190178482813215,-0.0096892203296181,0.05148119275856218,-0.05148119275856218,1.3952372776712906e-07,1.8317001241874946e-07,0.3136731568624186,0.31912261111669216,-0.25229775135229654,0.42347703192489455,0.30654829427689184,-0.3813636982945864,0.33810310197221866,0.25050159169258895,0.2675840484967323,1.8311924059663903e-08,-1.904232803875451e-08,-0.04460625296064094,-0.12549406559707776",flesh | flesh | flesh | flesh | flesh | flesh | flesh | flesh | flesh | flesh | flesh | flesh | flesh | flesh | flesh | flesh | flesh | flesh | flesh | flesh | flesh | flesh | flesh | flesh | flesh | flesh | flesh | flesh | flesh | flesh | flesh | flesh | flesh | flesh | flesh | flesh | flesh | flesh | flesh | flesh | flesh | flesh | flesh | flesh | flesh | flesh | flesh | flesh | flesh | flesh | flesh | flesh | flesh | flesh | flesh | flesh | flesh | flesh | flesh,Flesh | Flesh | Flesh | Flesh | Flesh | Flesh | Flesh | Flesh | Flesh | Flesh | Flesh | Flesh | Flesh | Flesh | Flesh | Flesh | Flesh | Flesh | Flesh | Flesh | Flesh | Flesh | Flesh | Flesh | Flesh | Flesh | Flesh | Flesh | Flesh | Flesh | Flesh | Flesh | Flesh | Flesh | Flesh | Flesh | Flesh | Flesh | Flesh | Flesh | Flesh | Flesh | Flesh | Flesh | Flesh | Flesh | Flesh | Flesh | Flesh | Flesh | Flesh | Flesh | Flesh | Flesh | Flesh | Flesh | Flesh | Flesh | Flesh,cache\cranium_3d_landmark_training.npz,training.npy,"[373, 593]"
unknown::cache\cranium_3d_landmark_training.npz::training.npy::fat,fat,,48,same_bridge_key,combine_same_semantic_control,"25,26,27,28,165,166,167,168,169,170,171,172,173,174,175,176,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,492,493,494,495,580,581,582,583,610,611,612,613,614,615,616,617","-0.29304384142389,0.38499740055464204,-0.29882110619291025,0.39401470148747003,0.11697297131012646,-0.03718978213136046,0.06517705290519286,0.038954783791875544,-0.28171968342272785,0.2761873530060865,-0.2610235674500586,0.23981223378701502,0.07142687690796559,0.03623249852700049,-0.006048096676118661,-0.049183879888442784,0.22003228393412014,0.2617641666458951,0.19600267474835295,0.22705298795419793,0.09743439020578427,0.08382916411955108,0.038292013457737646,0.15505485831813237,-0.37215916043155045,0.346340146119748,-0.37215916043155045,0.34180487530710413,0.06206079135174333,-0.29281986341629973,-0.04360849476961151,-0.3339153602126731,0.2580625680018558,-0.15291448469611568,0.222087275527997,-0.09917651842649781,-0.34612540502030975,0.4321906480162701,-0.3156966059310455,0.3229653594211919,-0.1589776087055697,0.11647421074080198,-0.11835750897582757,0.15423827700904666,-0.0902133750529503,0.08651533763318549,-0.12711805870941464,0.03265884075571305",fat | fat | fat | fat | fat | fat | fat | fat | fat | fat | fat | fat | fat | fat | fat | fat | fat | fat | fat | fat | fat | fat | fat | fat | fat | fat | fat | fat | fat | fat | fat | fat | fat | fat | fat | fat | fat | fat | fat | fat | fat | fat | fat | fat | fat | fat | fat | fat,Fat | Fat | Fat | Fat | Fat | Fat | Fat | Fat | Fat | Fat | Fat | Fat | Fat | Fat | Fat | Fat | Fat | Fat | Fat | Fat | Fat | Fat | Fat | Fat | Fat | Fat | Fat | Fat | Fat | Fat | Fat | Fat | Fat | Fat | Fat | Fat | Fat | Fat | Fat | Fat | Fat | Fat | Fat | Fat | Fat | Fat | Fat | Fat,cache\cranium_3d_landmark_training.npz,training.npy,"[373, 593]"
fat::cache\cranium_3d_landmark_training.npz::headers.npy::ca_noseAla_NL_ICX_B_F,ca_noseAla_NL_ICX_B_F,fat,1,direct,direct_value,258,0.14025799627023325,ca_noseAla_NL_ICX_B_F,ca_noseAla_NL_ICX_B_F,cache\cranium_3d_landmark_training.npz,headers.npy,[373]
fat::cache\cranium_3d_landmark_training.npz::headers.npy::ca_noseAla_NL_ICX_D_U,ca_noseAla_NL_ICX_D_U,fat,1,direct,direct_value,256,-0.08722469681842492,ca_noseAla_NL_ICX_D_U,ca_noseAla_NL_ICX_D_U,cache\cranium_3d_landmark_training.npz,headers.npy,[373]
fat::cache\cranium_3d_landmark_training.npz::headers.npy::ca_noseAla_NL_ICX_N_W,ca_noseAla_NL_ICX_N_W,fat,1,direct,direct_value,259,-0.38548744662282947,ca_noseAla_NL_ICX_N_W,ca_noseAla_NL_ICX_N_W,cache\cranium_3d_landmark_training.npz,headers.npy,[373]
fat::cache\cranium_3d_landmark_training.npz::headers.npy::ca_noseAla_NL_ICX_R_A,ca_noseAla_NL_ICX_R_A,fat,1,direct,direct_value,257,-0.44379903840130974,ca_noseAla_NL_ICX_R_A,ca_noseAla_NL_ICX_R_A,cache\cranium_3d_landmark_training.npz,headers.npy,[373]
fat::cache\cranium_3d_landmark_training.npz::headers.npy::ca_noseAla_NL_ILX_B_F,ca_noseAla_NL_ILX_B_F,fat,1,direct,direct_value,266,0.24741552557189947,ca_noseAla_NL_ILX_B_F,ca_noseAla_NL_ILX_B_F,cache\cranium_3d_landmark_training.npz,headers.npy,[373]
fat::cache\cranium_3d_landmark_training.npz::headers.npy::ca_noseAla_NL_ILX_D_U,ca_noseAla_NL_ILX_D_U,fat,1,direct,direct_value,264,0.0049136680305206255,ca_noseAla_NL_ILX_D_U,ca_noseAla_NL_ILX_D_U,cache\cranium_3d_landmark_training.npz,headers.npy,[373]
fat::cache\cranium_3d_landmark_training.npz::headers.npy::ca_noseAla_NL_ILX_N_W,ca_noseAla_NL_ILX_N_W,fat,1,direct,direct_value,267,-0.15417735601706056,ca_noseAla_NL_ILX_N_W,ca_noseAla_NL_ILX_N_W,cache\cranium_3d_landmark_training.npz,headers.npy,[373]
