axis_index,slot_id,bridge_path,axis_value,assigned,target_id,score,bridge_key,native_value,layer,npz,member,shape,candidate_count
0,0,$.entries[0],0.006288687510592343,True,skeletal::cache\cranium_fce_head_features.npz::headers_skeletal.npy::bs_skull_NN_SXX_F,690,bs_skull_NN_SXX_F,bs_skull_NN_SXX_F,skeletal,cache\cranium_fce_head_features.npz,headers_skeletal.npy,[232],13
1,1,$.entries[1],0.3501492426177431,True,skeletal::cache\cranium_fce_head_features.npz::headers_skeletal.npy::bs_skull_NN_SXX_D_U,690,bs_skull_NN_SXX_D_U,bs_skull_NN_SXX_D_U,skeletal,cache\cranium_fce_head_features.npz,headers_skeletal.npy,[232],13
2,2,$.entries[2],0.03990086448874471,True,skeletal::cache\cranium_fce_head_features.npz::headers_skeletal.npy::bs_skull_NN_SXX_R_A,690,bs_skull_NN_SXX_R_A,bs_skull_NN_SXX_R_A,skeletal,cache\cranium_fce_head_features.npz,headers_skeletal.npy,[232],13
3,3,$.entries[3],-0.2579768555625586,True,skeletal::cache\cranium_fce_head_features.npz::headers_skeletal.npy::bs_skull_NN_SXX_SL_SR,690,bs_skull_NN_SXX_SL_SR,bs_skull_NN_SXX_SL_SR,skeletal,cache\cranium_fce_head_features.npz,headers_skeletal.npy,[232],13
4,4,$.entries[4],0.4302765063247554,True,skeletal::cache\cranium_fce_head_features.npz::headers_skeletal.npy::bs_skull_NN_SXX_N_W,690,bs_skull_NN_SXX_N_W,bs_skull_NN_SXX_N_W,skeletal,cache\cranium_fce_head_features.npz,headers_skeletal.npy,[232],13
5,5,$.entries[5],0.30103461970312484,True,unknown::cache\cranium_landmark_training.npz::training.npy::skeletal,540,skeletal,skeletal,,cache\cranium_landmark_training.npz,training.npy,"[373, 585]",6
6,6,$.entries[6],0.30457530402448985,True,unknown::cache\cranium_geometry_landmark_training.npz::training.npy::skeletal,540,skeletal,skeletal,,cache\cranium_geometry_landmark_training.npz,training.npy,"[373, 593]",6
7,7,$.entries[7],-0.36663148235720644,True,unknown::cache\cranium_fce_landmark_training.npz::training.npy::skeletal,540,skeletal,skeletal,,cache\cranium_fce_landmark_training.npz,training.npy,"[373, 585]",6
8,8,$.entries[8],-8.511067801307756e-07,True,unknown::cache\cranium_fce_3d_landmark_training.npz::training.npy::skeletal,540,skeletal,skeletal,,cache\cranium_fce_3d_landmark_training.npz,training.npy,"[373, 585]",6
9,9,$.entries[9],-0.011926845552038517,True,unknown::cache\cranium_controller_training.npz::training.npy::skeletal,540,skeletal,skeletal,,cache\cranium_controller_training.npz,training.npy,"[368, 359]",6
10,10,$.entries[10],0.19474931670165713,True,skeletal::cache\cranium_fce_head_features.npz::headers_skeletal.npy::bs_skull_NN_XXP_D_U,690,bs_skull_NN_XXP_D_U,bs_skull_NN_XXP_D_U,skeletal,cache\cranium_fce_head_features.npz,headers_skeletal.npy,[232],13
11,11,$.entries[11],-0.41241156062816775,True,skeletal::cache\cranium_fce_head_features.npz::headers_skeletal.npy::bs_skull_NN_XXP_R_A,690,bs_skull_NN_XXP_R_A,bs_skull_NN_XXP_R_A,skeletal,cache\cranium_fce_head_features.npz,headers_skeletal.npy,[232],13
12,12,$.entries[12],0.1484107257775271,True,skeletal::cache\cranium_fce_head_features.npz::headers_skeletal.npy::bs_skull_NN_XXP_B_F,690,bs_skull_NN_XXP_B_F,bs_skull_NN_XXP_B_F,skeletal,cache\cranium_fce_head_features.npz,headers_skeletal.npy,[232],13
