axis_index,slot_id,bridge_path,value,layer,native_morph,logical_target,resolution,source,canonical_npz,canonical_member,canonical_shape,archive_alias_count
0,0,$.entries[0],0.006288687510592343,skeletal,bs_skull_NN_SXX_F,skeletal::bs_skull_NN_SXX_F,exact,fce_final_axis_resolver_v8,cache\cranium_fce_photo_bridge.npz,morph_skeletal.npy,[585],0
1,1,$.entries[1],0.3501492426177431,skeletal,bs_skull_NN_SXX_D_U,skeletal::bs_skull_NN_SXX_D_U,exact,fce_final_axis_resolver_v8,cache\cranium_fce_photo_bridge.npz,morph_skeletal.npy,[585],0
2,2,$.entries[2],0.03990086448874471,skeletal,bs_skull_NN_SXX_R_A,skeletal::bs_skull_NN_SXX_R_A,exact,fce_final_axis_resolver_v8,cache\cranium_fce_photo_bridge.npz,morph_skeletal.npy,[585],0
3,3,$.entries[3],-0.2579768555625586,skeletal,bs_skull_NN_SXX_SL_SR,skeletal::bs_skull_NN_SXX_SL_SR,exact,fce_final_axis_resolver_v8,cache\cranium_fce_photo_bridge.npz,morph_skeletal.npy,[585],0
4,4,$.entries[4],0.4302765063247554,skeletal,bs_skull_NN_SXX_N_W,skeletal::bs_skull_NN_SXX_N_W,exact,fce_final_axis_resolver_v8,cache\cranium_fce_photo_bridge.npz,morph_skeletal.npy,[585],0
5,5,$.entries[5],0.30103461970312484,skeletal,bs_coronal_NN_SXX_D_U,skeletal::bs_coronal_NN_SXX_D_U,exact_native_name_recovered,fce_ambiguous_axis_recovery_v11,cache\cranium_fce_photo_bridge.npz,morph_skeletal.npy,[585],6
6,6,$.entries[6],0.30457530402448985,skeletal,bs_coronal_NN_SXX_B_F,skeletal::bs_coronal_NN_SXX_B_F,exact_native_name_recovered,fce_ambiguous_axis_recovery_v11,cache\cranium_fce_photo_bridge.npz,morph_skeletal.npy,[585],6
7,7,$.entries[7],-0.36663148235720644,skeletal,bs_coronal_NN_SXX_SL_SR,skeletal::bs_coronal_NN_SXX_SL_SR,exact_native_name_recovered,fce_ambiguous_axis_recovery_v11,cache\cranium_fce_photo_bridge.npz,morph_skeletal.npy,[585],6
8,8,$.entries[8],-8.511067801307756e-07,skeletal,bs_coronal_NN_SXX_R,skeletal::bs_coronal_NN_SXX_R,exact_native_name_recovered,fce_ambiguous_axis_recovery_v11,cache\cranium_fce_photo_bridge.npz,morph_skeletal.npy,[585],6
9,9,$.entries[9],-0.011926845552038517,skeletal,bs_coronal_NN_SXX_N_W,skeletal::bs_coronal_NN_SXX_N_W,exact_native_name_recovered,fce_ambiguous_axis_recovery_v11,cache\cranium_fce_photo_bridge.npz,morph_skeletal.npy,[585],6
10,10,$.entries[10],0.19474931670165713,skeletal,bs_skull_NN_XXP_D_U,skeletal::bs_skull_NN_XXP_D_U,exact,fce_final_axis_resolver_v8,cache\cranium_fce_photo_bridge.npz,morph_skeletal.npy,[585],0
11,11,$.entries[11],-0.41241156062816775,skeletal,bs_skull_NN_XXP_R_A,skeletal::bs_skull_NN_XXP_R_A,exact,fce_final_axis_resolver_v8,cache\cranium_fce_photo_bridge.npz,morph_skeletal.npy,[585],0
12,12,$.entries[12],0.1484107257775271,skeletal,bs_skull_NN_XXP_B_F,skeletal::bs_skull_NN_XXP_B_F,exact,fce_final_axis_resolver_v8,cache\cranium_fce_photo_bridge.npz,morph_skeletal.npy,[585],0
13,13,$.entries[13],-0.2812579830263103,skeletal,bs_skull_NN_XXP_SL_SR,skeletal::bs_skull_NN_XXP_SL_SR,exact,fce_final_axis_resolver_v8,cache\cranium_fce_photo_bridge.npz,morph_skeletal.npy,[585],0
14,14,$.entries[14],-0.445076265890977,skeletal,bs_skull_NN_XXP_N_W,skeletal::bs_skull_NN_XXP_N_W,exact,fce_final_axis_resolver_v8,cache\cranium_fce_photo_bridge.npz,morph_skeletal.npy,[585],0
15,15,$.entries[15],-0.2796428209692075,skeletal,bs_temple_NL_XXX_D_U,skeletal::bs_temple_NL_XXX_D_U,exact,fce_final_axis_resolver_v8,cache\cranium_fce_photo_bridge.npz,morph_skeletal.npy,[585],0
16,16,$.entries[16],-0.12340819679619737,skeletal,bs_temple_NL_XXX_R_A,skeletal::bs_temple_NL_XXX_R_A,exact,fce_final_axis_resolver_v8,cache\cranium_fce_photo_bridge.npz,morph_skeletal.npy,[585],0
17,17,$.entries[17],0.05251382228088116,skeletal,bs_temple_NL_XXX_B_F,skeletal::bs_temple_NL_XXX_B_F,exact,fce_final_axis_resolver_v8,cache\cranium_fce_photo_bridge.npz,morph_skeletal.npy,[585],0
